player_name,total_sessions,total_spins,avg_spins_per_session,total_winnings,avg_winnings_per_spin,avg_max_streak
CautiousBot_Run1,5,0.0,0.0,15.0,0,0.0
CautiousBot_Run2,30,580.0,19.33,465.0,0.8,14.5
CautiousBot_Run3,5,0.0,0.0,15.0,0,0.0
CautiousBot_Run4,30,420.0,14.0,465.0,1.11,15.5
CautiousBot_Run5,5,0.0,0.0,15.0,0,0.0
CautiousBot_Run6,30,504.0,16.8,465.0,0.92,13.53
CautiousBot_Run7,5,0.0,0.0,15.0,0,0.0
CautiousBot_Run8,5,0.0,0.0,15.0,0,0.0
CautiousBot_Run9,30,464.0,15.47,465.0,1.0,14.5
CautiousBot_Run10,30,540.0,18.0,465.0,0.86,15.5
CautiousBot_Run11,5,0.0,0.0,15.0,0,0.0
CautiousBot_Run12,30,480.0,16.0,465.0,0.97,15.5
CautiousBot_Run13,30,480.0,16.0,465.0,0.97,15.5
CautiousBot_Run14,30,406.0,13.53,465.0,1.15,14.5
CautiousBot_Run15,30,406.0,13.53,465.0,1.15,14.5
CautiousBot_Run16,5,0.0,0.0,15.0,0,0.0
CautiousBot_Run17,30,420.0,14.0,465.0,1.11,15.5
CautiousBot_Run18,30,480.0,16.0,465.0,0.97,15.5
CautiousBot_Run19,5,0.0,0.0,15.0,0,0.0
CautiousBot_Run20,30,480.0,16.0,465.0,0.97,15.5
GreedyBot_Run1,30,0.0,0.0,465.0,0,0.0
GreedyBot_Run2,30,350.0,11.67,465.0,1.33,10.83
GreedyBot_Run3,30,540.0,18.0,465.0,0.86,15.5
GreedyBot_Run4,30,406.0,13.53,465.0,1.15,14.5
GreedyBot_Run5,30,448.0,14.93,465.0,1.04,13.53
GreedyBot_Run6,30,0.0,0.0,465.0,0,0.0
GreedyBot_Run7,30,0.0,0.0,465.0,0,0.0
GreedyBot_Run8,30,464.0,15.47,465.0,1.0,14.5
GreedyBot_Run9,30,350.0,11.67,465.0,1.33,10.83
GreedyBot_Run10,30,0.0,0.0,465.0,0,0.0
GreedyBot_Run11,30,416.0,13.87,465.0,1.12,11.7
GreedyBot_Run12,30,522.0,17.4,465.0,0.89,14.5
GreedyBot_Run13,30,144.0,4.8,465.0,3.23,1.5
GreedyBot_Run14,30,420.0,14.0,465.0,1.11,15.5
GreedyBot_Run15,30,266.0,8.87,465.0,1.75,6.33
GreedyBot_Run16,30,448.0,14.93,465.0,1.04,13.53
GreedyBot_Run17,30,322.0,10.73,465.0,1.44,9.2
GreedyBot_Run18,30,280.0,9.33,465.0,1.66,7.0
GreedyBot_Run19,30,464.0,15.47,465.0,1.0,14.5
GreedyBot_Run20,30,0.0,0.0,465.0,0,0.0
LuckyBot_Run1,10,0.0,0.0,55.0,0,0.0
LuckyBot_Run2,30,480.0,16.0,465.0,0.97,10.0
LuckyBot_Run3,10,0.0,0.0,55.0,0,0.0
LuckyBot_Run4,30,480.0,16.0,465.0,0.97,15.5
LuckyBot_Run5,10,0.0,0.0,55.0,0,0.0
LuckyBot_Run6,30,580.0,19.33,465.0,0.8,14.5
LuckyBot_Run7,10,0.0,0.0,55.0,0,0.0
LuckyBot_Run8,30,432.0,14.4,465.0,1.08,10.0
LuckyBot_Run9,10,0.0,0.0,55.0,0,0.0
LuckyBot_Run10,10,0.0,0.0,55.0,0,0.0
LuckyBot_Run11,30,480.0,16.0,465.0,0.97,15.5
LuckyBot_Run12,30,448.0,14.93,465.0,1.04,13.53
LuckyBot_Run13,30,450.0,15.0,465.0,1.03,10.83
LuckyBot_Run14,30,600.0,20.0,465.0,0.78,15.5
LuckyBot_Run15,30,406.0,13.53,465.0,1.15,14.5
LuckyBot_Run16,30,384.0,12.8,465.0,1.21,10.0
LuckyBot_Run17,30,480.0,16.0,465.0,0.97,15.5
LuckyBot_Run18,30,480.0,16.0,465.0,0.97,15.5
LuckyBot_Run19,10,0.0,0.0,55.0,0,0.0
LuckyBot_Run20,10,0.0,0.0,55.0,0,0.0
